   n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
   0,             0,               0,              5,             1,               0,              0,              0,                0,               0
   1,             0,               0,              0,             1,               0,              0,              0,                0,               0
   2,             1,               0,              1,            10,               2,            392,              4,                0,               1
   3,             3,               2,              1,            23,               5,              2,             11,                2,              14
   4,             4,               2,              1,            34,               8,              2,             20,                2,               1
   5,             5,               2,              1,            45,              12,              2,             31,                2,               1
   6,             6,               2,              1,            59,              16,              2,             44,                2,               1
   7,             7,               2,              1,            72,              20,              2,             59,                2,               1
   8,             8,               2,              1,            86,              24,              2,             76,                2,               1
   9,             9,               2,              1,            98,              29,              2,             95,                2,               1
  10,            10,               2,              1,           112,              34,              3,            116,                2,               2
  11,            11,               2,              2,           126,              39,              6,            139,                2,               2
  12,            13,               3,              3,           144,              44,              6,            164,                3,               3
  13,            14,               3,              4,           159,              49,             13,            191,                3,               6
  14,            15,               3,              2,           174,              54,              8,            220,                3,               5
  15,            16,               3,              2,           191,              59,              7,            251,                3,               5
  16,            17,               3,              3,           207,              64,              8,            284,                3,               5
  17,            19,               4,              3,           221,              70,              9,            319,                4,               7
  18,            20,               4,              3,           238,              76,              7,            356,                4,               4
  19,            21,               4,              2,           253,              82,              8,            395,                4,               4
  20,            23,               5,              2,           269,              88,              8,            436,                5,              80
  21,            25,               6,              2,           287,              94,              6,            479,                6,               5
  22,            26,               6,              2,           306,             100,              5,            524,                6,               5
  23,            27,               6,              2,           321,             106,              6,            571,                6,               6
  24,            28,               6,              2,           341,             112,              6,            620,                6,               6
  25,            29,               6,              2,           356,             118,             14,            671,                6,              12
  26,            31,               7,              3,           376,             124,              8,            724,                7,               7
  27,            33,               8,              3,           394,             130,              7,            779,                8,               8
  28,            36,              10,              3,           413,             136,              7,            836,               10,               8
  29,            37,              10,              3,           433,             142,             11,            895,               10,               9
  30,            38,              10,              3,           452,             148,              7,            956,               10,               9
  31,            40,              11,              4,           471,             154,              9,           1019,               11,              10
  32,            41,              11,              5,           491,             160,             14,           1084,               11,              20
  33,            42,              11,             11,           505,             167,             10,           1151,               11,              11
  34,            43,              11,              3,           522,             174,              9,           1220,               11,              13
  35,            45,              12,              5,           538,             181,             22,           1291,               12,              26
  36,            46,              12,              5,           557,             188,             21,           1364,               12,              13
  37,            47,              12,              3,           574,             195,             12,           1439,               12,             169
  38,            48,              12,              3,           593,             202,             14,           1516,               12,             118
  39,            49,              12,              3,           612,             209,             13,           1595,               12,              83
  40,            51,              13,              3,           631,             216,              9,           1676,               13,              95
  41,            52,              13,              3,           648,             223,             10,           1759,               13,              20
  42,            53,              13,              3,           665,             230,             13,           1844,               13,             112
  43,            54,              13,              4,           684,             237,             15,           1931,               13,              23
  44,            55,              13,              3,           704,             244,             12,           2020,               13,             396
  45,            56,              13,              8,           723,             251,             34,           2111,               13,             129
  46,            57,              13,              6,           740,             258,             23,           2204,               13,             183
  47,            59,              14,              4,           763,             265,             15,           2299,               14,              71
  48,            61,              15,              4,           787,             272,             14,           2396,               15,              72
  49,            62,              15,              4,           803,             279,             17,           2495,               15,             168
  50,            63,              15,              6,           822,             286,             27,           2596,               15,             128
  51,            65,              16,              9,           841,             293,             30,           2699,               16,             133
  52,            67,              17,              6,           865,             300,             32,           2804,               17,             147
  53,            70,              19,              7,           886,             307,             29,           2911,               19,             130
  54,            73,              21,              8,           907,             314,             33,           3020,               21,             135
  55,            74,              21,              7,           928,             321,             32,           3131,               21,             136
  56,            75,              21,              8,           942,             328,             27,           3244,               21,             170
  57,            76,              21,              8,           960,             335,             35,           3359,               21,             135
  58,            77,              21,             17,           991,             342,             26,           3476,               21,             133
  59,            78,              21,              7,          1008,             349,             42,           3595,               21,             129
  60,            79,              21,              8,          1027,             356,             32,           3716,               21,             147
  61,            80,              21,              8,          1047,             363,             33,           3839,               21,             628
  62,            81,              21,             21,          1071,             370,             35,           3964,               21,               8
  63,            82,              21,              7,          1092,             377,             74,           4091,               21,               8
  64,            84,              22,             11,          1113,             384,             34,           4220,               22,               9
  65,            85,              22,              8,          1129,             392,             34,           4351,               22,               7
  66,            86,              22,              7,          1146,             400,             41,           4484,               22,               8
  67,            87,              22,              9,          1166,             408,             36,           4619,               22,               9
  68,            89,              23,              9,          1188,             416,             53,           4756,               23,               9
  69,            92,              25,              8,          1207,             424,             34,           4895,               25,               9
  70,            96,              28,              9,          1227,             432,             32,           5036,               28,               9
  71,           100,              31,             10,          1244,             440,             39,           5179,               31,              10
  72,           101,              31,             10,          1273,             448,             39,           5324,               31,              11
  73,           102,              31,             10,          1287,             456,             38,           5471,               31,              11
  74,           103,              31,             10,          1309,             464,             40,           5620,               31,              11
  75,           104,              31,             12,          1330,             472,             45,           5771,               31,              11
  76,           105,              31,             10,          1343,             480,             42,           5924,               31,              12
  77,           106,              31,             10,          1367,             488,             41,           6079,               31,              12
  78,           108,              32,             10,          1390,             496,             43,           6236,               32,              12
  79,           111,              34,             11,          1413,             504,             43,           6395,               34,              12
  80,           112,              34,             10,          1441,             512,             43,           6556,               34,              13
  81,           113,              34,             10,          1455,             520,             40,           6719,               34,              12
