  n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
  0,             0,               0,              1,             1,               0,              1,              0,                0,               1
  1,             0,               0,              0,             1,               0,              1,              0,                0,               0
  2,             1,               0,              1,            10,               2,              4,              4,                0,               1
  3,             2,               0,              1,            20,               5,              5,              6,                0,               1
  4,             4,               1,              1,            33,               8,              6,             15,                1,               2
  5,             5,               1,              1,            45,              12,             47,             19,                1,               3
  6,             9,               4,              7,            63,              16,             13,             32,                4,               5
  7,            12,               6,              3,            78,              20,             10,             38,                6,              10
  8,            13,               6,              2,            92,              24,             14,             55,                6,               4
  9,            14,               6,             59,           104,              29,             20,             63,                6,               6
 10,            16,               7,              5,           117,              34,             24,             71,                7,               7
 11,            18,               8,              2,           133,              39,             16,             79,                8,               5
 12,            19,               8,              2,           153,              44,             14,             87,                8,               5
 13,            20,               8,              2,           167,              49,             39,             95,                8,               6
 14,            21,               8,              2,           182,              54,             44,            103,                8,               6
 15,            22,               8,              2,           198,              59,             14,            111,                8,               6
 16,            23,               8,              3,           215,              64,             35,            119,                8,               6
 17,            24,               8,             31,           228,              70,             23,            127,                8,              14
 18,            25,               8,              4,           244,              76,             14,            135,                8,               7
 19,            27,               9,              3,           260,              82,             16,            143,                9,               9
 20,            28,               9,              3,           275,              88,             18,            151,                9,               8
 21,            29,               9,              7,           290,              94,             42,            159,                9,              12
 22,            30,               9,              8,           306,             100,             31,            167,                9,              13
 23,            31,               9,             16,           324,             106,             62,            175,                9,              39
 24,            32,               9,              7,           347,             112,             21,            183,                9,              15
 25,            33,               9,              6,           362,             118,              8,            191,                9,              10
 26,            34,               9,              3,           378,             124,              7,            199,                9,               9
 27,            35,               9,              3,           396,             130,              7,            207,                9,               9
 28,            37,              10,             11,           414,             136,             13,            215,               10,              20
 29,            39,              11,              6,           433,             142,             21,            223,               11,              19
 30,            40,              11,              6,           453,             148,             18,            231,               11,              18
 31,            41,              11,              6,           472,             154,             20,            239,               11,              17
 32,            42,              11,              6,           492,             160,             15,            247,               11,              11
 33,            43,              11,              4,           506,             167,              9,            255,               11,              11
 34,            44,              11,              4,           521,             174,             11,            263,               11,              12
 35,            46,              12,              8,           538,             181,             21,            271,               12,              12
 36,            48,              13,              5,           561,             188,             14,            279,               13,              12
 37,            50,              14,              5,           579,             195,             12,            287,               14,              13
