 n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
 0,             0,               0,              1,             1,               0,              1,              0,                0,               0
 1,             0,               0,              0,             1,               0,              1,              0,                0,               0
 2,             1,               0,              1,            10,               2,              4,              4,                0,               2
 3,             2,               0,              1,            20,               5,              6,             11,                0,               2
 4,             3,               0,              1,            32,               8,              7,             20,                0,               3
 5,             4,               0,              2,            43,              12,              8,             31,                0,               3
 6,             6,               1,              6,            57,              16,             13,             44,                1,               4
 7,            10,               4,              7,            73,              20,             12,             59,                4,              15
 8,            11,               4,              2,            89,              24,             41,             76,                4,               6
 9,            12,               4,              2,           101,              29,             12,             95,                4,               7
10,            13,               4,              3,           115,              34,             18,            116,                4,               8
