   n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
   0,             0,               0,              1,             1,               0,              1,              0,                0,               0
   1,             0,               0,              0,             1,               0,              1,              0,                0,               0
   2,             1,               0,              1,            10,               2,             40,              4,                0,               2
   3,             3,               1,             39,            21,               5,              3,              6,                1,              26
   4,             4,               1,              1,            34,               8,              4,             15,                1,               1
   5,             8,               4,              1,            50,              12,              3,             19,                3,               1
   6,            11,               6,              1,            64,              16,              4,             32,                6,               1
   7,            16,              10,              1,            81,              20,              5,             38,                9,               1
   8,            20,              13,              1,            94,              24,              8,             55,               13,               3
   9,            26,              18,              2,           111,              29,              7,             63,               17,               2
  10,            28,              19,              1,           133,              34,              4,             84,               19,               2
  11,            30,              20,              1,           147,              39,              7,             94,               20,               2
  12,            33,              22,              1,           161,              44,              4,            119,               22,               2
  13,            34,              22,              1,           177,              49,              4,            131,               22,               2
  14,            42,              29,              1,           202,              54,              4,            160,               29,               2
  15,            51,              37,              1,           221,              59,              4,            174,               36,               2
  16,            62,              47,              2,           238,              64,              9,            207,               45,               5
  17,            78,              62,              3,           260,              70,             10,            223,               53,               7
  18,            91,              74,              2,           275,              76,              6,            260,               64,               3
  19,            96,              78,              2,           297,              82,              8,            278,               68,               4
  20,           110,              91,              2,           325,              88,              8,            319,               81,               4
  21,           128,             108,             11,           349,              94,             17,            339,               91,               8
  22,           131,             110,              6,           363,             100,             13,            384,               97,               9
  23,           132,             110,              4,           377,             106,              8,            406,               97,               5
  24,           154,             131,              3,           400,             112,              7,            455,              113,               5
  25,           176,             152,              3,           419,             118,              9,            479,              125,               6
  26,           189,             164,              3,           441,             124,              8,            532,              142,               6
  27,           213,             187,              4,           459,             130,              8,            558,              155,               6
  28,           235,             208,              4,           493,             136,             13,            615,              174,               7
  29,           250,             222,              4,           513,             142,             11,            643,              188,               7
  30,           266,             237,              5,           533,             148,              8,            704,              209,               8
  31,           275,             245,              5,           550,             154,              9,            734,              217,               9
  32,           286,             255,              5,           568,             160,             13,            799,              232,               9
  33,           312,             280,              5,           593,             167,             12,            831,              248,              10
  34,           342,             309,              6,           622,             174,             11,            900,              271,              11
  35,           373,             339,              7,           640,             181,             12,            934,              288,              12
  36,           385,             350,              7,           669,             188,             10,           1007,              306,              23
  37,           414,             378,             12,           686,             195,             25,           1043,              324,              12
  38,           437,             400,              8,           708,             202,             15,           1120,              351,              85
  39,           457,             419,              8,           736,             209,             11,           1158,              370,              13
  40,           482,             443,              8,           773,             216,             11,           1239,              399,              15
  41,           513,             473,              8,           798,             223,             14,           1279,              419,              14
  42,           535,             494,             86,           809,             230,             16,           1364,              451,              16
  43,           573,             531,              9,           834,             237,             12,           1406,              472,              16
  44,           580,             537,              9,           865,             244,             15,           1495,              487,              17
  45,           618,             574,             10,           887,             251,             13,           1539,              509,              18
  46,           622,             577,             19,           895,             258,             34,           1632,              521,              33
  47,           656,             610,             24,           915,             265,             30,           1678,              544,              31
  48,           692,             645,             23,           943,             272,             29,           1775,              577,              21
  49,           720,             672,             11,           967,             279,             19,           1823,              601,              95
  50,           735,             686,             12,           994,             286,             17,           1924,              625,              22
  51,           776,             726,             12,          1026,             293,             19,           1974,              650,              23
  52,           789,             738,             12,          1038,             300,             17,           2079,              672,              24
  53,           791,             739,             13,          1055,             307,             21,           2131,              673,              25
  54,           832,             779,            147,          1087,             314,             30,           2240,              710,             152
  55,           863,             809,             26,          1110,             321,             43,           2294,              737,             272
  56,           882,             827,             46,          1158,             328,             38,           2407,              766,             214
  57,           896,             840,           1503,          1178,             335,             33,           2463,              779,             243
