  n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
  0,             0,               0,              3,             1,               0,              1,              0,                0,               1
  1,             0,               0,              1,             1,               0,              1,              0,                0,               0
  2,             1,               1,              1,            11,               2,              5,              4,                1,               2
  3,             2,               1,              2,            22,               5,              8,             11,                1,               3
  4,             4,               2,              2,            34,               8,             15,             20,                2,               7
  5,             5,               2,              2,            46,              12,             21,             31,                2,               6
  6,            10,               6,              2,            65,              16,             13,             44,                6,               4
  7,            13,               8,              5,            80,              20,             15,             59,                8,              14
  8,            20,              15,              7,            97,              24,             44,             76,               15,              16
  9,            26,              20,              7,           115,              29,             40,             95,               20,               6
 10,            34,              27,              3,           126,              34,             13,            116,               27,               6
 11,            40,              32,              3,           146,              39,             14,            139,               32,               7
 12,            44,              35,              3,           166,              44,             18,            164,               35,               8
 13,            55,              45,              4,           187,              49,             16,            191,               45,               9
 14,            59,              48,              4,           195,              54,             46,            220,               48,              10
 15,            67,              55,              4,           216,              59,             48,            251,               55,              11
 16,            70,              57,              6,           237,              64,             18,            284,               57,              12
 17,            83,              69,              5,           259,              70,             19,            319,               69,              15
 18,            92,              77,              6,           283,              76,             22,            356,               77,              15
 19,            95,              79,              6,           297,              82,             24,            395,               79,              16
 20,           114,              98,              7,           316,              88,             27,            436,               98,              18
 21,           133,             116,              8,           337,              94,             24,            479,              116,              19
 22,           154,             136,              9,           354,             100,             17,            524,              136,              23
 23,           168,             149,             10,           383,             106,             17,            571,              149,              23
 24,           182,             162,             11,           405,             112,             18,            620,              162,              25
 25,           198,             177,             11,           429,             118,             20,            671,              177,              30
 26,           211,             189,             12,           434,             124,             21,            724,              189,              28
 27,           235,             212,             13,           465,             130,            288,            779,              212,             112
 28,           241,             217,             89,           477,             136,            118,            836,              217,             204
 29,           248,             223,             79,           499,             142,             85,            895,              223,             207
